PMU100_out.spoofing_attack,isAttack
PMU100_out.B121_I5,y_hat_send[78]
PMU100_out.B121_I6,y_hat_send[79]
PMU300_out.B302_V,y_hat_send[80]
PMU300_out.B302_I1,y_hat_send[81]
PMU300_out.B302_I2,y_hat_send[82]
PMU300_out.B302_I3,y_hat_send[83]
PMU300_out.B303_V,y_hat_send[84]
PMU300_out.B303_I1,y_hat_send[85]
PMU300_out.B303_I2,y_hat_send[86]
PMU300_out.B303_I3,y_hat_send[87]
PMU300_out.B307_V,y_hat_send[88]
PMU300_out.B307_I1,y_hat_send[89]
PMU300_out.B310_V,y_hat_send[90]
PMU300_out.B310_I1,y_hat_send[91]
PMU300_out.B310_I2,y_hat_send[92]
PMU300_out.B310_I3,y_hat_send[93]
PMU300_out.B310_I4,y_hat_send[94]
PMU300_out.B310_I5,y_hat_send[95]
PMU300_out.B323_V,y_hat_send[96]
PMU300_out.B323_I1,y_hat_send[97]
PMU300_out.B323_I2,y_hat_send[98]
PMU300_out.B323_I3,y_hat_send[99]
PMU300_out.B323_I4,y_hat_send[100]
PMU300_out.B323_I5,y_hat_send[101]
PMU100_out.B102_bias.mag,solution_deg_final[0]
PMU100_out.B103_bias.mag,solution_deg_final[1]
PMU100_out.B107_bias.mag,solution_deg_final[2]
PMU100_out.B110_bias.mag,solution_deg_final[3]
PMU100_out.B123_bias.mag,solution_deg_final[4]
PMU200_out.B202_bias.mag,solution_deg_final[5]
PMU200_out.B203_bias.mag,solution_deg_final[6]
PMU200_out.B207_bias.mag,solution_deg_final[7]
PMU200_out.B210_bias.mag,solution_deg_final[8]
PMU200_out.B216_bias.mag,solution_deg_final[9]
PMU200_out.B221_bias.mag,solution_deg_final[10]
PMU200_out.B223_bias.mag,solution_deg_final[11]
PMU300_out.B316_bias.mag,solution_deg_final[12]
PMU300_out.B321_bias.mag,solution_deg_final[13]
PMU100_out.B116_bias.mag,solution_deg_final[14]
PMU100_out.B121_bias.mag,solution_deg_final[15]
PMU300_out.B302_bias.mag,solution_deg_final[16]
PMU300_out.B303_bias.mag,solution_deg_final[17]
PMU300_out.B307_bias.mag,solution_deg_final[18]
PMU300_out.B310_bias.mag,solution_deg_final[19]
PMU300_out.B323_bias.mag,solution_deg_final[20]
